Hour,Total,Straight,LeftTurn,RightTurn,UTurn,Timestamp
15:00,202,99,0,10,0,2025-09-09 15:29
2025-09-11 14:14:42,16,5,0,0,0,11,10,14,2
2025-09-11 14:14:46,20,7,0,0,0,13,10,16,2
2025-09-11 14:14:50,30,10,0,1,0,19,12,22,2
2025-09-11 14:14:54,36,11,0,1,0,24,13,29,2
2025-09-11 14:14:59,49,13,0,1,0,35,15,36,3
2025-09-11 14:15:03,53,13,0,1,0,39,16,40,3
2025-09-11 14:15:07,64,15,0,3,0,46,19,46,4
2025-09-11 14:15:12,67,16,0,4,0,47,19,48,4
2025-09-11 14:15:16,73,18,0,4,0,51,21,51,4
2025-09-11 14:15:20,76,18,0,4,0,54,23,52,4
2025-09-11 14:15:25,77,18,0,4,0,55,24,52,4
2025-09-11 14:15:29,78,18,0,4,0,56,26,52,4
2025-09-11 14:15:34,82,20,0,4,0,58,26,56,4
2025-09-11 14:15:38,88,21,0,6,0,61,29,58,4
2025-09-11 14:15:43,93,21,0,6,0,66,29,61,6
2025-09-11 14:15:47,106,23,0,7,0,76,30,69,8
2025-09-11 14:15:52,113,23,0,7,0,83,34,72,8
2025-09-11 14:15:56,114,23,0,7,0,84,35,72,8
2025-09-19 02:03:43,0,0,0,0,0,0,5,8,0
2025-09-19 02:03:46,9,4,0,0,0,5,6,12,1
2025-09-19 02:03:50,10,5,0,0,0,5,7,12,1
2025-09-19 02:03:53,12,7,0,0,0,5,7,12,1
2025-09-19 02:03:55,19,10,0,1,0,8,8,16,1
2025-09-19 02:03:58,23,11,0,1,0,11,9,19,1
2025-09-19 02:04:00,26,13,0,1,0,12,9,20,2
2025-09-19 02:04:03,28,13,0,1,0,14,10,22,2
2025-09-19 02:04:06,30,15,0,1,0,14,11,23,3
2025-09-19 02:04:08,33,16,0,3,0,14,11,24,3
2025-09-19 02:04:11,38,18,0,4,0,16,13,25,3
2025-09-19 02:04:13,39,18,0,4,0,17,13,26,3
2025-09-19 02:04:16,40,18,0,4,0,18,14,26,3
2025-09-19 02:04:19,41,18,0,4,0,19,16,26,3
2025-09-19 02:04:21,45,20,0,4,0,21,16,30,3
2025-09-19 02:04:24,49,21,0,6,0,22,18,31,3
2025-09-19 02:04:26,51,21,0,6,0,24,18,32,4
2025-09-19 02:04:29,57,22,0,7,0,28,18,37,4
2025-09-19 02:04:32,61,23,0,7,0,31,21,37,4
2025-09-19 02:04:34,64,23,0,7,0,34,22,39,4
2025-09-19 02:04:37,67,23,0,7,0,37,24,40,4
2025-09-19 05:50:00,0,0,0,0,0,0,5,8,0
2025-09-19 05:50:01,9,4,0,0,0,5,6,12,1
2025-09-19 05:50:03,10,5,0,0,0,5,7,12,1
2025-09-19 05:50:04,12,7,0,0,0,5,7,12,1
2025-09-19 05:50:06,19,10,0,1,0,8,8,16,1
